timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808846139,3525,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,96591,136,46,46,https://karaokeivan.com/index.php/login/,3112,0,312
1773808844309,5444,HTTP Request,200,OK,Thread Group 1-17,text,true,,97810,272,46,46,https://karaokeivan.com/index.php/login/,370,0,185
1773808844309,370,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,1220,136,46,46,http://karaokeivan.com/index.php/login/,370,0,185
1773808844680,5073,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,96590,136,46,46,https://karaokeivan.com/index.php/login/,4662,0,343
1773808846022,3888,HTTP Request,200,OK,Thread Group 1-34,text,true,,97811,272,47,47,https://karaokeivan.com/index.php/login/,355,0,178
1773808846022,355,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,1221,136,47,47,http://karaokeivan.com/index.php/login/,355,0,178
1773808846378,3532,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,96590,136,47,47,https://karaokeivan.com/index.php/login/,3138,0,336
1773808847710,2444,HTTP Request,200,OK,Thread Group 1-51,text,true,,97811,272,48,48,https://karaokeivan.com/index.php/login/,324,0,160
1773808847710,324,HTTP Request-0,301,Moved Permanently,Thread Group 1-51,text,true,,1221,136,48,48,http://karaokeivan.com/index.php/login/,324,0,160
1773808848035,2119,HTTP Request-1,200,OK,Thread Group 1-51,text,true,,96590,136,48,48,https://karaokeivan.com/index.php/login/,1688,0,361
1773808847803,2384,HTTP Request,200,OK,Thread Group 1-52,text,true,,97818,272,47,47,https://karaokeivan.com/index.php/login/,309,0,155
1773808847803,309,HTTP Request-0,301,Moved Permanently,Thread Group 1-52,text,true,,1220,136,47,47,http://karaokeivan.com/index.php/login/,309,0,155
1773808848113,2074,HTTP Request-1,200,OK,Thread Group 1-52,text,true,,96598,136,47,47,https://karaokeivan.com/index.php/login/,1505,0,349
1773808845914,4372,HTTP Request,200,OK,Thread Group 1-33,text,true,,97817,272,47,47,https://karaokeivan.com/index.php/login/,351,0,174
1773808845914,351,HTTP Request-0,301,Moved Permanently,Thread Group 1-33,text,true,,1220,136,47,47,http://karaokeivan.com/index.php/login/,351,0,174
1773808846265,4021,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,96597,136,47,47,https://karaokeivan.com/index.php/login/,3476,0,326
1773808848113,2314,HTTP Request,200,OK,Thread Group 1-55,text,true,,97817,272,48,48,https://karaokeivan.com/index.php/login/,317,0,163
1773808848113,317,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,1220,136,48,48,http://karaokeivan.com/index.php/login/,317,0,163
1773808848430,1997,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,96597,136,48,48,https://karaokeivan.com/index.php/login/,1470,0,325
